timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-03-14T00:00:00.000Z";"2025-03-14T23:59:59.999Z";"2025-03-14T17:11:00.000Z";"2025-03-14T00:02:00.000Z";"2781";10.7117578697;12.27423788;10.709924705;11.8928710098;1516080253.98;2378437150.12;"2025-03-14T23:59:59.999Z"
"2025-03-13T00:00:00.000Z";"2025-03-13T23:59:59.999Z";"2025-03-13T05:29:00.000Z";"2025-03-13T17:41:00.000Z";"2781";10.5768724629;11.5675779103;10.3015845961;10.7117578697;1168535641.07;2142346527.48;"2025-03-13T23:59:59.999Z"
"2025-03-12T00:00:00.000Z";"2025-03-12T23:59:59.999Z";"2025-03-12T12:34:00.000Z";"2025-03-12T04:46:00.000Z";"2781";10.4872003725;10.7317562085;10.0646407434;10.5768959561;596685350.97;2115369516.83;"2025-03-12T23:59:59.999Z"
"2025-03-11T00:00:00.000Z";"2025-03-11T23:59:59.999Z";"2025-03-11T18:55:00.000Z";"2025-03-11T00:40:00.000Z";"2781";10.3039745697;10.8507276106;9.7208596067;10.4871653751;932626157.59;2097435153.99;"2025-03-11T23:59:59.999Z"
"2025-03-10T00:00:00.000Z";"2025-03-10T23:59:59.999Z";"2025-03-10T09:26:00.000Z";"2025-03-10T19:05:00.000Z";"2781";10.6988621621;11.5279444339;10.2394603724;10.3040149848;756560698.61;2060798174.02;"2025-03-10T23:59:59.999Z"
"2025-03-09T00:00:00.000Z";"2025-03-09T23:59:59.999Z";"2025-03-09T03:58:00.000Z";"2025-03-09T18:20:00.000Z";"2781";12.0236096286;12.1516546733;10.5496982224;10.6988621621;594333820.26;2139767434.55;"2025-03-09T23:59:59.999Z"
"2025-03-08T00:00:00.000Z";"2025-03-08T23:59:59.999Z";"2025-03-08T00:59:00.000Z";"2025-03-08T16:28:00.000Z";"2781";12.3517413368;12.4082105596;11.7515106384;12.0239942186;478733264.97;2404716321.74;"2025-03-08T23:59:59.999Z"
"2025-03-07T00:00:00.000Z";"2025-03-07T23:59:59.999Z";"2025-03-07T13:40:00.000Z";"2025-03-07T23:16:00.000Z";"2781";13.0969292178;13.262471037;12.2454759884;12.3515324972;1130400910.36;2470342525.87;"2025-03-07T23:59:59.999Z"
"2025-03-06T00:00:00.000Z";"2025-03-06T23:59:59.999Z";"2025-03-06T05:46:00.000Z";"2025-03-06T17:52:00.000Z";"2781";13.2203148487;13.8458954297;12.8695683984;13.0967656329;968975597.89;2619347066.82;"2025-03-06T23:59:59.999Z"
"2025-03-05T00:00:00.000Z";"2025-03-05T23:59:59.999Z";"2025-03-05T10:41:00.000Z";"2025-03-05T15:32:00.000Z";"2781";13.0009114385;13.6128580571;12.7153038822;13.2203445312;1053705491.42;2644062820.05;"2025-03-05T23:59:59.999Z"
